zip_code	covid_outcome	count	etl_timestamp
19107	DIED	9	8/11/20 17:20
19132	DIED	36	8/11/20 17:20
19111	DIED	69	8/11/20 17:20
19115	DIED	107	8/11/20 17:20
19136	DIED	65	8/11/20 17:20
19114	DIED	32	8/11/20 17:20
19142	DIED	27	8/11/20 17:20
19147	DIED	13	8/11/20 17:20
19123	DIED	31	8/11/20 17:20
19118	DIED	22	8/11/20 17:20
19129	DIED	6	8/11/20 17:20
19119	DIED	69	8/11/20 17:20
19134	DIED	27	8/11/20 17:20
19152	DIED	65	8/11/20 17:20
19133	DIED	22	8/11/20 17:20
19104	DIED	73	8/11/20 17:20
19146	DIED	30	8/11/20 17:20
19151	DIED	27	8/11/20 17:20
19128	DIED	20	8/11/20 17:20
19148	DIED	50	8/11/20 17:20
19149	DIED	30	8/11/20 17:20
19143	DIED	51	8/11/20 17:20
19150	DIED	24	8/11/20 17:20
19135	DIED	15	8/11/20 17:20
19131	DIED	93	8/11/20 17:20
19154	DIED	27	8/11/20 17:20
19138	DIED	31	8/11/20 17:20
19139	DIED	62	8/11/20 17:20
19130	DIED	18	8/11/20 17:20
19103	DIED	24	8/11/20 17:20
19125	DIED	15	8/11/20 17:20
19141	DIED	41	8/11/20 17:20
19124	DIED	34	8/11/20 17:20
19144	DIED	96	8/11/20 17:20
19122	DIED	17	8/11/20 17:20
19153	DIED	8	8/11/20 17:20
19116	DIED	74	8/11/20 17:20
19140	DIED	55	8/11/20 17:20
19121	DIED	24	8/11/20 17:20
19126	DIED	93	8/11/20 17:20
19120	DIED	31	8/11/20 17:20
19145	DIED	28	8/11/20 17:20
